,Date,Tweets
159,2020-07-23,RT @AutonomousCNS: Tesla given $300.00 PT by Barclays PLC. sell rating. https://t.co/EtJjsyhGXq $TSLA #TSLA via @RatingsNetwork
160,2020-07-23,RT @AutonomousCNS: Tesla's PT raised by Royal Bank of Canada to $850.00. underperform rating. https://t.co/Qp4ct3iD7c $TSLA #TSLA via @Rati…
161,2020-07-23,"@DougKass @realmoney @jimcramer @tomkeene @CNBCFastMoney @SquawkCNBC It would be successful if you can stand drawdown.
#TSLA will erase all-hyped premium fast when a market corrects"
162,2020-07-23,Tesla given $300.00 PT by Barclays PLC. sell rating. https://t.co/EtJjsyhGXq $TSLA #TSLA via @RatingsNetwork
163,2020-07-23,Tesla's PT raised by Royal Bank of Canada to $850.00. underperform rating. https://t.co/Qp4ct3iD7c $TSLA #TSLA via @RatingsNetwork
164,2020-07-23,@ContrarianShort @HedgeyeIndstrls Very easy to see as: what does Musk tries to sell the most: Stock! Who is his competitor that he hates: SEC. Always trying to pump his product as he has and gets more of it! #tsla #tslaq
165,2020-07-23,Can #RelianceIndustruies run like Tesla ? #RIL #TSLA
166,2020-07-23,"Linette is very Salty today!!! 😬

https://t.co/n5V1sdz3Gl

#TSLA https://t.co/IHd4XiqTEW"
167,2020-07-23,@thestinkmarket Why not if bitcoin reached 20k ...imagine a real company like Tesla! #tsla
168,2020-07-23,RT @TrendSpider: $TSLA #TSLA Waiting for the close of the bell when you are using rent money on this trade... https://t.co/zlABmGXTFn
169,2020-07-23,"Slightly profitable and avoiding bankruptcy seems to be Elon Musks goal with #tsla. Can that be worth 800 times ttm profit? 
https://t.co/HCqLEh1LkW"
170,2020-07-23,"Linette Lopez is possibly the most hateful, biased journalists in all of North America!!! 

• In 9 months time she will go very quiet about Autopilot as it rolls out in several U.S states 🇺🇸 

She should consider early retirement 🤫 ! 

#teslaearnings #TSLA https://t.co/e6oKX6hMGX"
171,2020-07-23,RT @proactive_NA: $TSLA Tesla posts second-quarter profit as cost cuts and strong deliveries help offset coronavirus-related shutdowns http…
172,2020-07-23,"RT @AimResearcher: Wow, Elon Musk of #TSLA is worried about the world running out of #Nickel. He has a plea: ""Mine more nickel"". ""'Tesla wi…"
173,2020-07-23,"RT @JasameSmith: The thing about #tsla is you NEVER listen to the bulls, this saves anger and money.

We musk continue to be emotionally in…"
174,2020-07-23,S&amp;P index committee's next regular meeting is not till mid-September. Any #TSLA #Tesla #Tslaq index inclusion will have to wait till at least then.
175,2020-07-23,"On positive side there are good reports and good responses to the earnings reports from IBM (#IBM), Texas Instruments (#TXN), Biogen (#BIIB), KeyCorp (#KEY), as well as yesterday’s miracle from Tesla (#TSLA).
https://t.co/acwvvByZgY via @YouTube"
176,2020-07-23,"RT @HitmanTrading: Interested in finding out more about the Advanced Market Momentum Finder???

Join our dedicated Telegram chat group and…"
177,2020-07-23,"Interested in finding out more about the Advanced Market Momentum Finder???

Join our dedicated Telegram chat group and ask our team.

Try for 7 days for FREE!!

https://t.co/QYper4TLUR

#forex #trading #indicator #XAU #Bitcoin #TSLA #MSFT"
178,2020-07-23,RT @proactive_NA: $TSLA Tesla surges towards S&amp;P inclusion as IP becomes the driving force https://t.co/FeTtsV6PRZ via @proactive_NA @Tesla…
179,2020-07-23,$TSLA Tesla surges towards S&amp;P inclusion as IP becomes the driving force https://t.co/FeTtsV6PRZ via @proactive_NA @Tesla #TSLA
180,2020-07-23,"RT @AlCocan: “We’re building a great, major insurance company. If you’re interested in building a revolutionary  #insurance company, please…"
181,2020-07-23,S&amp;P500 All day long. #NASDAQ #TSLA https://t.co/RLxo7iorC6
182,2020-07-23,"RT @AimResearcher: Wow, Elon Musk of #TSLA is worried about the world running out of #Nickel. He has a plea: ""Mine more nickel"". ""'Tesla wi…"
183,2020-07-23,"#TSLA Tesla posts 4th consecutive profitable Q – #ElectricVehicle maker reported $104mio in profit in 2Q2020 – It means TSLA can now be considered for inclusion in S&amp;P 500 Index, chart @WSJecon https://t.co/9odbJulQuu https://t.co/K2vvYDsjH5"
